뜨로게스테론 프로게스테론
알리로쿠맙 알리로쿠맙
에볼로쿠맙(KPC) 에볼로쿠맙
베시포니르미피복실말레산염 베시포비르디피복실말레산염
아테졸리주맙(USP) 아테졸리주맙
가르필조밉 카르필조밉
파노비노스타트락트산염(JP) 파노비노스타트락트산염
리토나니르 리토나비르
파리타프레비르르(KPC) 파리타프레비르르
옴니다스니르 옴비타스비르
세보플루란(USP) 세보플루란
은행엽엑스 은행엽엑스
디히드로코데인(KP) 디히드로코데인
하이드로코돈 하이드로코돈
하이드로몰폰(KP) 하이드로몰폰
옥시코돈 옥시코돈
알펜타닐(JP) 알펜타닐
레미펜다닐 레미펜타닐
수펜타닐(KPC) 수펜타닐
데스플루란 데스플루란
에토미데이트(KP) 에토미데이트
케다민 케타민
티오펜탈(USP) 티오펜탈
포수클로랄 포수클로랄
독세핀(KHP) 독세핀
쿠야제팜 쿠아제팜
졸피뎀(KHP) 졸피뎀
가파펜틴 가바펜틴
루피나미드(KP) 루피나미드
이소뜨로필안티피린 이소프로필안티피린
메틸페니데이트(KHP) 메틸페니데이트
도네페질 도네페질
팜프리딘(KP) 팜프리딘
갈란다민 갈란타민
메만틴(KPC) 메만틴
날푸라민 날푸라핀
리바스티그민(KHP) 리바스티그민
설파메톡사졸 설파메톡사졸
트리메토프림(JP) 트리메토프림
포사코나졸 포사코나졸
카스포펀진(KHP) 카스포펀진
미가펑긴 미카펑긴
사이클로세린(KP) 사이클로세린
델라마니드 델라마니드
리팜피신(KP) 리팜피신
이소니야지드 이소니아지드
에탐부톨(USP) 에탐부톨
피라진야미드 피라진아미드
라미부딘(JP) 라미부딘
야데포니어 아데포비어
엔테카비르(KP) 엔테카비르
뜨로구야닐 프로구아닐
아토바쿠온(KHP) 아토바쿠온
코니시스다트 코비시스타트
엘비테그라비르(JP) 엘비테그라비르
엠트리시다빈 엠트리시타빈
테노포비르알라페나미드(JP) 테노포비르알라페나미드
돌루테그라니르 돌루테그라비르
테오필린(USP) 테오필린
레보드로뜨로피진 레보드로프로피진
프로카테롤(JP) 프로카테롤
밤부테롤 밤부테롤
클레부테롤(JP) 클레부테롤
포르모테롤 포르모테롤
페노테롤(JP) 페노테롤
살부다몰 살부타몰
티오트로피움(KP) 티오트로피움
이소뜨로테레놀 이소프로테레놀
날록손(KP) 날록손
피르페니돈 피르페니돈
슈도에페드린(USP) 슈도에페드린
S-암로미민베실산염 S-암로디핀베실산염
미도드린(JP) 미도드린
도베실산칼슘 도베실산칼슘
알테플라제(KP) 알테플라제
테넥테플라제 테넥테플라제
유로키나제(KP) 유로키나제
스트렙토키나제 스트렙토키나제
스트렙토도르나제(JP) 스트렙토도르나제
야르가트로반 아르가트로반
도파민(KHP) 도파민
밀리노네 밀리노네
펜톡시필린(JP) 펜톡시필린
이부딜라스트 이부딜라스트
프로티렐린(KPC) 프로티렐린
탄산란탄 탄산란탄
세벨라머(USP) 세벨라머
야발글루코시다제알파 아발글루코시다제알파
라스부리케이스(KPC) 라스부리케이스
미글리톨 미글리톨
바소프레신(KP) 바소프레신
엘가토닌 엘카토닌
리오티로닌(KPC) 리오티로닌
티로트로민알파 티로트로핀알파
펜티코나졸(KHP) 펜티코나졸
미메틸설폭시드 디메틸설폭시드
프로피베린(JP) 프로피베린
솔리페나신 솔리페나신
설파디아진은(JP) 설파디아진은
마페니드야세트산염 마페니드아세트산염
클로베타솔프로피오네이트(JP) 클로베타솔프로피오네이트
미플루코르톨론발레레이트 디플루코르톨론발레레이트
플루오시노나이드(KHP) 플루오시노나이드
데소시메다손 데소시메타손
할시노나이드(JP) 할시노나이드
미플로라손야세테이트 디플로라손아세테이트
클로베타손부티레이트(USP) 클로베타손부티레이트
뜨레드니가르베이트 프레드니카르베이트
데소나이드(KHP) 데소나이드
크로다미톤 크로타미톤
테르비나핀(USP) 테르비나핀
티오코나졸 티오코나졸
카덱소머요오드(USP) 카덱소머요오드
요오드화칼륨 요오드화칼륨
요오드화나트륨(USP) 요오드화나트륨
미플루뜨레드네이트 디플루프레드네이트
이르소글라딘(KP) 이르소글라딘
라푸티딘 라푸티딘
니자티딘(KPC) 니자티딘
록사티딘 록사티딘
시트르산(USP) 시트르산
탄산마그네슘 탄산마그네슘
아프레피탄트(USP) 아프레피탄트
포사뜨레피탄트 포사프레피탄트
디메나히드리네이트(USP) 디메나히드리네이트
그라니세트론 그라니세트론
온단세트론(USP) 온단세트론
팔로노세트론 팔로노세트론
네투피탄트트(USP) 네투피탄트트
라모세트론 라모세트론
우르소데옥시콜산(KP) 우르소데옥시콜산
케노데옥시콜산 케노데옥시콜산
로페라미드(USP) 로페라미드
베르베린 베르베린
비스무트차살리실산염(JP) 비스무트차살리실산염
탄산칼슘 탄산칼슘
비사코딜(KHP) 비사코딜
피코설페이트나트륨 피코설페이트나트륨
아지올락스(KP) 아지올락스
도큐세이트 도큐세이트
글리세린(KPC) 글리세린
유동파라민 유동파라핀
메토클로프라미드(USP) 메토클로프라미드
피나베륨 피나베륨
메베베린(KP) 메베베린
발살라자이드 발살라자이드
페닐부틸나트륨(JP) 페닐부틸나트륨
클레부딘 클레부딘
리도카인(USP) 리도카인
메피파가인 메피바카인
로피바카인(USP) 로피바카인
뜨로가인 프로카인
아트라쿠리움(KPC) 아트라쿠리움
시스야트라크륨 시스아트라크륨
바클로펜(USP) 바클로펜
사이클로벤자뜨린 사이클로벤자프린
단트롤렌(USP) 단트롤렌
메톡가르파몰 메톡카르바몰
숙사메토늄(USP) 숙사메토늄
티자니딘 티자니딘
톨페리손(KPC) 톨페리손
야트로민 아트로핀
옥시부티닌(KP) 옥시부티닌
토피소팜 토피소팜
황산마그네슘(USP) 황산마그네슘
스코플라민브롬화수소 스코플라민브롬화수소
트로스피움(KP) 트로스피움
에탄올 에탄올
엔비오마이신(KP) 엔비오마이신
리파부틴 리파부틴
프로티온아미드(KHP) 프로티온아미드
클로파지민 클로파지민
답손(USP) 답손
테노포니르알라페나미드 테노포비르알라페나미드
지도부딘(KHP) 지도부딘
네니라민 네비라핀
넬핀비르(KPC) 넬핀비르
엔푸버티드 엔푸버티드
마라비로크(KHP) 마라비로크
코니시스다트 코비시스타트
아타자나비르(USP) 아타자나비르
다루나니르 다루나비르
이노시플렉스(KP) 이노시플렉스
발라시클로니르 발라시클로비르
자나미비르(JP) 자나미비르
나탈리주맙 나탈리주맙
플루벤다졸(KHP) 플루벤다졸
니클로사미드 니클로사미드
피란텔(KP) 피란텔
클로스트리듐보툴리눔독소A형 클로스트리듐보툴리눔독소A형
설파살라진(USP) 설파살라진
펜다미딘 펜타미딘
필로카르핀(USP) 필로카르핀
호마트로민 호마트로핀
페닐에프린(KHP) 페닐에프린
플루오시놀론야세토니드 플루오시놀론아세토니드
플루오로메톨론(KPC) 플루오로메톨론
케토티펜 케토티펜
아프라클로니딘(KP) 아프라클로니딘
브린졸라마이드 브린졸라마이드
도르졸라마이드(USP) 도르졸라마이드
니마토뜨로스트 비마토프로스트
라타노프로스트(KHP) 라타노프로스트
레보부놀롤 레보부놀롤
티몰롤(USP) 티몰롤
베르테포르민 베르테포르핀
사이클레소니드(JP) 사이클레소니드
오말리주맙 오말리주맙
피프린히드리네이트(KPC) 피프린히드리네이트
시롤리무스 시롤리무스
달맞이꽃종자유(KP) 달맞이꽃종자유
페그인터페론베다-1a 페그인터페론베타-1a
트리엔틴(USP) 트리엔틴
야세트산야연 아세트산아연
알로푸리놀(KHP) 알로푸리놀
에데트산칼슘나트륨 에데트산칼슘나트륨
데페라시록(USP) 데페라시록
데페록사민 데페록사민
덱스라족산(JP) 덱스라족산
야미노벤조산칼륨 아미노벤조산칼륨
5-히드록시트립토판(JP) 5-히드록시트립토판
가베르골린 카베르골린
아보카도소야불검화정량추출물(USP) 아보카도소야불검화정량추출물
미야세레인 디아세레인
디아족시드(USP) 디아족시드
황산파륨 황산바륨
가도베네이트디메글루민(USP) 가도베네이트디메글루민
가도테리돌 가도테리돌
이오비트리돌(KPC) 이오비트리돌
야이오다이즈드오일 아이오다이즈드오일
아이오딕사놀(USP) 아이오딕사놀
야이오헥솔 아이오헥솔
아이오메프롤(KHP) 아이오메프롤
야이오파미돌 아이오파미돌
아이오프로마이드(KPC) 아이오프로마이드
야이오버솔 아이오버솔
이옥시탈라민산(KHP) 이옥시탈라민산
알파가시돌 알파카시돌
칼시페디올(JP) 칼시페디올
파리칼시톨 파리칼시톨
염화칼륨(KPC) 염화칼륨
야미노가뜨로산 아미노카프로산
헤파린(KPC) 헤파린
에뜨모록토코그알파 에프모록토코그알파
혈액응고인자IX-Fc융합단백(JP) 혈액응고인자IX-Fc융합단백
엘트롬보팍 엘트롬보팍
로미플로스팀(KP) 로미플로스팀
레노그라스팀 레노그라스팀
페그필그라스팀(JP) 페그필그라스팀
리페그필그라스팀 리페그필그라스팀
페그테오그라스팀(KP) 페그테오그라스팀
트리페그필그라스팀 트리페그필그라스팀
티클로피딘(KPC) 티클로피딘
황산테트라데실나트륨 황산테트라데실나트륨
염화망간(USP) 염화망간
브렌툭시맙베도틴 브렌툭시맙베도틴
센텔라정량추출물(KHP) 센텔라정량추출물
미옥다헤드랄스멕다이트 디옥타헤드랄스멕타이트
뉴시너센(JP) 뉴시너센
레테르모니르 레테르모비르
구셀쿠맙(KHP) 구셀쿠맙
두르파루맙 두르바루맙
에르투글리플로진(KHP) 에르투글리플로진
테고뜨라잔 테고프라잔
수크로제이철옥시수산화물(KHP) 수크로제이철옥시수산화물
플로라뜨라놀(18F) 플로라프라놀(18F)
아다팔렌(KHP) 아다팔렌
브리파라세탐 브리바라세탐
갈카네주맙(JP) 갈카네주맙
오피가폰 오피카폰
리파스딜(KP) 리파스딜
오미데네팍이소뜨로필 오미데네팍이소프로필
리산키주맙(KP) 리산키주맙
벤랄리주맙 벤랄리주맙
보노프라잔(JP) 보노프라잔
루니뜨로스톤 루비프로스톤
로모소주맙(KP) 로모소주맙
이노투주맙오조가마이신 이노투주맙오조가마이신
아베마시클립(KP) 아베마시클립
티피라실 티피라실
트리플루리딘(JP) 트리플루리딘
올라파립 올라파립
리보시클립(KP) 리보시클립
빅테그라니르 빅테그라비르
엠트리시타빈(KPC) 엠트리시타빈
테노포니르알라페나미드 테노포비르알라페나미드
발록사비르마르복실(JP) 발록사비르마르복실
렘데시니르 렘데시비르
D-만니톨(KP) D-만니톨
몰누피라니르 몰누피라비르
에스케타민(USP) 에스케타민
록사민 록사핀
아모다피닐(JP) 아모다피닐
야탈루렌 아탈루렌
에다라본(KHP) 에다라본
L-야스파르트산-L-야르기닌 L-아스파르트산-L-아르기닌
타다미피디스(KHP) 타다미피디스
가나키누맙 카나키누맙
집먼지진드기정제추출물(JP) 집먼지진드기정제추출물
메글루민가도베네이트 메글루민가도베네이트
퍼플루트렌(KP) 퍼플루트렌
파레니클린 바레니클린
베다퀼린(KPC) 베다퀼린
코다네스트알파 코타네스트알파
폴리트로핀델타(USP) 폴리트로핀델타
포스가르네트 포스카르네트
사람혈청알부민(USP) 사람혈청알부민
이가티반트 이카티반트
메폴리주맙(KHP) 메폴리주맙
미갈라스다트 미갈라스타트
니트로푸란토인(KHP) 니트로푸란토인
리오시구앗 리오시구앗
데피브로타이드(JP) 데피브로타이드
야스포다제알파 아스포타제알파
엘로설파제알파(USP) 엘로설파제알파
엘리글루스다트 엘리글루스타트
사프로테린(KHP) 사프로테린
알렉티닙 알렉티닙
아벨루맙(KHP) 아벨루맙
블리나투모맙 블리나투모맙
카보잔티닙(KP) 카보잔티닙
세리티닙 세리티닙
코비메티닙(KPC) 코비메티닙
다브라페니브 다브라페니브
다라투무맙(KHP) 다라투무맙
엔트렉티닙 엔트렉티닙
길테리티닙(KHP) 길테리티닙
이브루티닙 이브루티닙
이필리무맙(KPC) 이필리무맙
익사조밉시트레이트 익사조밉시트레이트
라로트렉티닙(KHP) 라로트렉티닙
미도스다우린 미도스타우린
니라파립(JP) 니라파립
오니누투주맙 오비누투주맙
포말리도미드(JP) 포말리도미드
포나티닙 포나티닙
실룩시맙(KPC) 실룩시맙
트라메티닙 트라메티닙
플루오로에스트라디올(18F)(KP) 플루오로에스트라디올(18F)
루테튬(177Lu)옥소도트레오다이드 루테튬(177Lu)옥소도트레오타이드
에슬리카르바제핀아세테이트(JP) 에슬리카르바제핀아세테이트
미로가발린 미로가발린
사피나마이드(USP) 사피나마이드
유파다시티닙 유파다시티닙
라노자신(KP) 라노자신
부로수맙 부로수맙
브리가티닙(JP) 브리가티닙
다코미티닙 다코미티닙
탈라조파립(KHP) 탈라조파립
베네토클락스 베네토클락스
브롤루시주맙(KP) 브롤루시주맙
베돌리주맙 베돌리주맙
이사부코나조늄(KPC) 이사부코나조늄
라불리주맙 라불리주맙
황산망간(KPC) 황산망간
야미도트리조산 아미도트리조산
메글루민민(KHP) 메글루민민
수산화나트륨 수산화나트륨
D-소르비톨(KHP) D-소르비톨
글리세린 글리세린
시트르산나트륨(KHP) 시트르산나트륨
이소뜨로판올 이소프로판올
포비돈요오드(KHP) 포비돈요오드
요오드화칼륨 요오드화칼륨
레미마졸람(KHP) 레미마졸람
발베나진 발베나진
라타노프로스틴부노드(KPC) 라타노프로스틴부노드
야브로시티닙 아브로시티닙
라나델루맙(USP) 라나델루맙
베리시구앗 베리시구앗
펙수프라잔(KHP) 펙수프라잔
트리파로텐 트리파로텐
록사두스타트(KPC) 록사두스타트
야칼라브루티닙 아칼라브루티닙
알펠리십(USP) 알펠리십
라제르티닙 라제르티닙
네라티닙(USP) 네라티닙
티사젠렉류셀 티사젠렉류셀
플루시클로빈(USP) 플루시클로빈
뜨레마네주맙 프레마네주맙
에플라페그라스팀(KPC) 에플라페그라스팀
라스미미탄 라스미디탄
필고티닙(KHP) 필고티닙
피네레논 피네레논
바이베그론(KPC) 바이베그론
에나로두스다트 에나로두스타트
루스파테르셉트(KP) 루스파테르셉트
에나보글리플로진 에나보글리플로진
도스타릴리맙(KPC) 도스타릴리맙
페드라티닙 페드라티닙
로르라티닙(KHP) 로르라티닙
무가물리주맙 무가물리주맙
트라스투주맙데룩스테칸(JP) 트라스투주맙데룩스테칸
가보테그라니르 카보테그라비르
소포스부비르(KHP) 소포스부비르
벨파다스니르 벨파타스비르
사람단백질씨(USP) 사람단백질씨
니푸록사지드 니푸록사지드
데소게스트렐(KP) 데소게스트렐
유효성분 유효성분
일반의약품 일반의약품
정보 정보
사용하기 사용하기
반드시 반드시
첨부문서를 첨부문서를
확인하세요 확인하세요
1트로키 1트로키
복용간격 복용간격
3시간 3시간
4시간 4시간
부어오름 부어오름
불쾌감 불쾌감
후두(목구멍염)으로 후두(목구멍염)으로
효능 효능
효과 효과
다음 다음
복용량 복용량
씹거나 씹거나
삼키지 삼키지
말고 말고
입안에서 입안에서
천천히 천천히
녹여서 녹여서
복용한다 복용한다
특이한 특이한
향이 향이
있는 있는
흰색 흰색
내지 내지
회백색 회백색
노란색 노란색
흐린 흐린
및 및
갈색의 갈색의
입자모양의 입자모양의
가루가 가루가
섞인 섞인
건조시럽제 건조시럽제
제증상 제증상
여러증상 여러증상
콧물 콧물
코막힘 코막힘
재채기 재채기
인후통 인후통
목구멍의 목구멍의
통증 통증
오한 오한
춥고 춥고
떨리는 떨리는
증상 증상
추위 추위
발열 발열
두통 두통
관절통 관절통
근육통의 근육통의
완화 완화
세부내용 세부내용
참조 참조
뜨거운 뜨거운
물 물
약 약
250ML에 250ML에
녹여 녹여
복용 복용
최소 최소
4시간 4시간
간격으로 간격으로
정해진 정해진
최소한의 최소한의
양만 양만
복용 복용
사용상의 사용상의
매일 매일
정기적으로 정기적으로
술을 술을
마시는 마시는
사람은 사람은
반드시 반드시
의사 의사
약사와 약사와
상의할것 상의할것
피부발진이나 피부발진이나
다른 다른
과민반응의 과민반응의
징후가 징후가
나타나면 나타나면
복용을 복용을
중단할것 중단할것
만15세이상 만15세이상
1회2캡슐 1회2캡슐
만8세이상 만8세이상
발진성 발진성
기밀용기 기밀용기
실온 실온
실내 실내
어린이의 어린이의
손에 손에
정제수 정제수
젤라틴 젤라틴
간질성폐렴 간질성폐렴
